KEY,English,Russian,TAG
notificationNewSausageTitle,New sausage,Свежая сарделька,Notifications
notificationTournamentEndText,Learn the results and take the prize!,Узнай результаты и забери награду!,Notifications
notificationTournamentEndTicker,Tournament is completed - learn the results and take the prize!,Турнир завершен - узнай результаты и забери награду!,Notifications
notificationTournamentEndTitle,Tournament is completed,Турнир завершен,Notifications
English,ENGLISH,АНГЛИЙСКИЙ,Options
feedback,FEEDBACK,ОТЗЫВЫ,Options
help,HELP,ПОМОЩЬ,Options
language,LANGUAGE,ЯЗЫК,Options
mailBody,"Hello

My device: {0}, {1}, Screen {2}, RAM {3} MB, CPU {4}, GPU {5} {6} MB {7}

My profile: {8} (Device {9}, Facebook {10}, Game Center {11}, Google Games {12})

Game version: {13}

I would like to...","Здравствуйте

Мое устройство: {0}, {1}, Screen {2}, RAM {3} MB, CPU {4}, GPU {5} {6} MB {7}

Мой профиль: {8} (Device {9}, Facebook {10}, Game Center {11}, Google Games {12})

Версия игры: {13}

Я хотел бы...",Options
mailSubject,READY SET CAT - Feedback - {0},КОТИКИ - Отзыв - {0},Options
music,MUSIC,МУЗЫКА,Options
notifications,NOTIFICATIONS,УВЕДОМЛЕНИЯ,Options
off,OFF,ВЫКЛ,Options
on,ON,ВКЛ,Options
profile,PROFILE,ПРОФИЛЬ,Options
Russian,RUSSIAN,РУССКИЙ,Options
sound,SOUND,ЗВУКИ,Options
version,Version {0},Версия {0},Options
voice,VOICE,ГОЛОС,Options
restart,RESTART,ЗАНОВО,Pause
resume,RESUME,ПРОДОЛЖИТЬ,Pause
collection,MY CATS,МОИ КОТЫ,Prerare
cost,COST,ЦЕНА,Prerare
skip,SKIP,ПРОПУСТИТЬ,Prerare
start,START,СТАРТ,Prerare
catScared,Cats released,Разогнано котиков,Profile
friendWins,Friends beaten,Побед над друзьями,Profile
gameEnds,Games completed,Количество игр,Profile
highscore,High score,Рекорд,Profile
nameNotSet,No name set,Имя не указано,Profile
enterPromocode,INPUT PROMO CODE,ВВЕДИ ПРОМОКОД,Promocode
promocodeDescription,Where to find a promo code? Subscribe now to game's news and you won't miss any share!,Где найти промокод? Подпишись на новости игры и ты не пропустишь ни одной раздачи!,Promocode
promocodeInvalid,INVALID PROMO CODE,"ПРОМОКОД
НЕ ПОДХОДИТ",Promocode
promocodeValid,PROMO CODE ACCEPTED,ПРОМОКОД ПРИНЯТ,Promocode
interestedInYourFeedback,Cats would be glad to know your feedback!,Котикам очень интересно твое мнение об игре!,Rate App
rateGame,RATE IN STORE,ПОСТАВИТЬ ОЦЕНКУ,Rate App
writeEmail,EMAIL TO AUTHORS,НАПИСАТЬ АВТОРАМ,Rate App
rentCat,{0} wants to meet you! This supercat has already {1} level and will be with you during just one game,{0} хочет познакомиться! Этот суперкотик уже {1} уровня и будет с тобой только одну игру,Rent Cat
rentCatBuy,"Have you liked to play
with this supercat?
{0} of {1} level can
stay in your collection
for reasonable cost!","Понравилось играть
с этим суперкотиком?
{0} {1} уровня может остаться в твоей коллекции
за небольшое вознаграждение!",Rent Cat
earned,EARNED,СОБРАНО,Result
newHighScore,NEW HIGH SCORE,НОВЫЙ РЕКОРД,Result
next,NEXT,ДАЛЕЕ,Result
score,SCORE,ОЧКИ,Result
share,SHARE,РАССКАЗАТЬ,Result
adFree,"Having made any purchase, you won't see any ads!","Совершив любую покупку, ты больше не будешь видеть рекламу!",Shop
aquarium,AQARIUM,АКВАРИУМ,Shop
buy,BUY,КУПИТЬ,Shop
buyBatsDescription,{0} bats will help you to get unique cat earlier,{0} летучих мышей помогут скорее получить уникального котика,Shop
buyCatboxDone,"Congratulations!
It's {0}!","Поздравляем!
Это {0}!",Shop
buyCatboxPremiumDescription,Magic box with NEW cat inside,"Волшебная коробка, внутри которой сидит НОВЫЙ суперкотик",Shop
buyCatboxSimpleDescription,This is a box with a random cat inside,"Это коробка, внутри которой сидит случайный суперкотик",Shop
buyGoldfishesDescription,{0} goldfish! Your cats will be happy!,{0} золотых рыбок! Tвои котики будут довольны!,Shop
buyGoldfishesDone,"Great!
The aquarium is yours!","Отлично!
Аквариум твой!",Shop
buyHatsDescription,{0} xmas hats will help you to get unique cat earlier,{0} новогодних шапок помогут скорее получить уникального котика,Shop
buySausagesDescription,{0} sausages - all you need for a lucky game!,"{0} [сарделек|сарделька|сардельки] - то, что нужно для азартной игры!",Shop
buySausagesDone,"Incredible!
Good luck to you!","Невероятно!
Удачи тебе!",Shop
buyValentinesDescription,{0} valentines will help you to get unique cat earlier,{0} валентинок помогут скорее получить уникального котика,Shop
catbox,CATBOX,КОТОКОРОБКА,Shop
collect,COLLECT,ВЗЯТЬ,Shop
collectionFull,Your cat collection is complete - it is really cool!,Вся коллекция супер котиков собрана! Поздравляем!,Shop
freeCaps,FREE,БЕСПЛАТНО,Shop
goldfishes,Goldfish,Золотые рыбки,Shop
levelUpCat,"As you already have {0}, it will be upgraded to the next level","Так как {0} у тебя уже есть, он будет повышен до следующего уровня",Shop
luckyWheel,Lucky Wheel,Колесо удачи,Shop
moreSausages,MORE SAUSAGES,ЕЩЕ САРДЕЛЕК,Shop
newCat,NEW CAT,НОВЫЙ КОТИК,Shop
open,OPEN,ОТКРЫТЬ,Shop
sale,HALF PRICE SALE,РАСПРОДАЖА,Shop
shopUnavalible,Shop is temporarily unavailable,"Магазин временно
не работает",Shop
shopUnavalibleFacebook,Shop is not available yet for Facebook game version,"Магазин пока
не доступен
в Facebook версии",Shop
collectHeartsToGetCat,Collect 100 valentines and exchange them for a unique cat!,"Собери сто валентинок
и обменяй их на уникального котика!",St Valentine
collectHeartsToGetCatDone,Exchange valentines for a unique cat!,Обменяй валентинки на уникального котика!,St Valentine
happyStValentinDay,HAPPY VALENTINE'S DAY!,С ДНЕМ ВСЕХ ВЛЮБЛЕННЫХ!,St Valentine
moreHearts,BUY VALENTINES,КУПИТЬ ВАЛЕНТИНОК,St Valentine
placeLast,You have beaten no friends,"Ты не обошел
ни одного друга",Tournament
placeNotLast,"You have beaten {0} friends
and receive","Ты обошел {0} [друзей|друга|друзей]
и получаешь",Tournament
placeOnlyPlayer,Your friends have not participated,"Друзья не участвовали
в Турнире",Tournament
prizeFund,FISH PRIZE,ПРИЗОВОЙ ФОНД,Tournament
retry,RETRY,ПОВТОРИТЬ,Tournament
timeLeft,TIME LEFT,ДО ЗАВЕРШЕНИЯ,Tournament
tournamentError,"Sorry, the Tournament is
temporarily unavailable","Извини, но Турнир
временно недоступен",Tournament
tournamentUpright,"T
O
U
R
N
A
M
E
N
T","Т
У
Р
Н
И
Р",Tournament
you,it's you,это ты,Tournament
completedUpright,"C
O
M
P
L
E
T
E
D","З
А
В
Е
Р
Ш
Е
Н",Tutorial
tutorialBuyCatbox,You might gain new supercats as a level up reward. But If you don't want to wait you can always buy the Magic Box in the shop!,Новых суперкотиков можно получить в награду за повышение уровня. Eсли ждать не хочется - в магазине можно купить Волшебную коробку!,Tutorial
tutorialBuySausages,If the sausages are over and you don't want to wait you can always buy them in the shop!,"Если сардельки закончились, а ждать не хочется - в магазине ты всегда можешь купить еще!",Tutorial
tutorialBuySkipMission,"Can't complete the task? The more difficult a mission is, the more pleasant victory becomes! If you can't find a way to get it done - don't worry, we can skip it","Не получается выполнить задачу? Чем сложнее миссия, тем слаще победа! А если совсем никак - ничего страшного, мы можем ее пропустить ",Tutorial
tutorialCatBox,Touch the supercat - it will take its box and help you during a play!,Нажми на суперкотика - он сядет в коробку и поможет тебе в игре!,Tutorial
tutorialCatExperience,Every play with a supercat improves cat's experience. When its experience line is full the cat becomes stronger!,За каждую игру суперкотик получает опыт. Набери достаточно опыта для повышения уровня и твой суперкотик станет круче!,Tutorial
tutorialCatGoldfishes,Your supercats are the pets with the needs. Every time you want cats to help give them a few goldfish first,"Суперкотики - питомцы с характером и просто так помогать не станут, каждый раз их нужно задабривать золотыми рыбками",Tutorial
tutorialCatLevelUp,"Supercat's level has grown up, this means its ability has improved! But the cat will require more goldfish for its help","Уровень котика повысился, а значит, его суперсила выросла! Но и за работу теперь он будет просить больше золотых рыбок",Tutorial
tutorialCatUse,To summon a supercat make all the bars on cat's box filled with color. The bars become filled up when you release the cats of the same color,"Чтобы призвать суперкотика, заполни все деления на его коробке. Деления заполняются, когда ты разгоняешь котов
того же цвета",Tutorial
tutorialCatUseActivateBoom,Tap on Boom to make him release cats around. Explosion radius will grow up when the level increases,"Нажми на Бума, чтобы он взорвался и разогнал котиков вокруг. Радиус его взрыва будет расти с увеличением уровня",Tutorial
tutorialCatUseActivateCap,"Tap on Cap to make him speed up and release cats on its way. Now the cat is small, but it will grow up as soon as its level increases","Нажми на Кэпа, чтобы он ускорился и разогнал котиков на своем пути. Сейчас он очень маленький, но с увеличением уровня он заметно вырастет",Tutorial
tutorialCatUseActivateDisco,Tap on a supercat to run Disco mode. The higher cat's level is the longer Disco time lasts,"Нажми на суперкотика, чтобы он запустил режим Диско. С ростом уровня котика режим Диско будет длиться дольше",Tutorial
tutorialCatUseActivateFlint,Tap on Flint and he will collect few goldfish. The higher cat's level is the more goldfish can be collected,"Нажми на Флинта, чтобы он собрал часть золотых рыбок. Чем выше будет его уровень, тем больше рыбок он сможет собрать",Tutorial
tutorialCatUseActivateJack,"Tap on Jack and all pumpkins will disappear from the box, and you will earn bonus points. The more pumpkins and the higher Jack's level the more points you get","Нажми на Джека, и все тыквы исчезнут из коробки, а ты заработаешь очки. Чем больше тыкв и выше уровень Джека, тем больше очков ты получишь ",Tutorial
tutorialCatUseActivateJoker,Include Joker into any chain and he will give you additional score bonus. With this cat you can even combine the chains of two colors!,"Включи Джокера в любую цепочку, и он принесет дополнительный бонус очков. С помощью этого котика ты сможешь связать цепочки двух разных цветов!",Tutorial
tutorialCatUseActivateKing,Tap on King and he will distribute few goldfish around. The higher cat's level is the more goldfish will be distributed,"Нажми на Царя, чтобы он раздал несколько золотых рыбок. Чем выше будет его уровнь, тем больше рыбок он сможет раздать",Tutorial
tutorialCatUseActivateLady,Tap on Lady and she will draw cats having the color of her scepter at that moment. The higher her level is the more cats can be drawn.,"Нажми на Леди, чтобы она приманила котиков того цвета, какого был ее скипетр в этот момент. С ростом уровня она сможет приманивать больше котиков",Tutorial
tutorialCatUseActivateLoki,Tap on Loki and he will spread petards across the box. The higher cat's level is the more petards will be spread.,"Нажми на Локи, чтобы он разбросал петарды по коробке. Их количество будет расти вместе с увеличением уровня суперкотика",Tutorial
tutorialCatUseActivateMage,Tap on Mage to make him change the color of nearest cats to the color of his hat. The higher his level is the more cats can be recolored,"Нажми на Мага, чтобы он изменил цвет ближайших котиков на цвет его шляпы. С ростом уровня он сможет перекрашивать больше котиков",Tutorial
tutorialCatUseActivateMix,Tap on Mix and he will mix all cats in the box,"Нажми на Микса, и он перемешает всех котиков в коробке",Tutorial
tutorialCatUseActivateOrion,Tap on Orion to make him generate black hole. Its life time will grow up when cat's level increases,"Нажми на Ориона, чтобы он создал черную дыру, время жизни которой будет расти с увеличением уровня",Tutorial
tutorialCatUseActivateRaiden,Tap on Raiden and he will release cats around himself. He activates chain reaction and strikes another Raidens with lightning. He is alone in the box now but the number of Raidens will increase with cat's level,"Нажми на Рейдена, чтобы он разогнал котиков вокруг себя. Так же он активирует цепную реакцию и поразит молнией остальных Рейденов на поле. Сейчас он один, но с увеличением уровня количество Рейденов будет расти",Tutorial
tutorialCatUseActivateSanta,Tap on Santa to activate his ability! What will happen then - is a surprise!,"Нажми на Мороза, чтобы активировать его суперспособность. Что произойдет дальше - сюрприз!",Tutorial
tutorialCatUseActivateSnow,Tap on Snow and he will freeze the timer. The higher cat's level is the longer freeze time lasts,"Нажми на Снежка, чтобы он заморозил таймер. Длительность заморозки будет расти с увеличением уровня суперкотика",Tutorial
tutorialCatUseActivateZen,Tap on Zen and he will add some time for the timer. Bonus time will become longer when cat's level is higher,"Нажми на Дзена, чтобы он прибавил время к таймеру. Бонусное время будет расти с увеличением уровня суперкотика",Tutorial
tutorialChampionship,This is an overall Championship. Set the highest record and become the best player!,Это всеобщий Чемпионат. Установи самый большой рекорд и стань лучшим!,Tutorial
tutorialCollection,This is your collection of supercats! Each of them has a unique ability. The more cats the higher chance of victory!,Это твоя коллекция суперкотиков! Каждый из них имеет уникальную способность. Больше котиков - больше шансов на победу!,Tutorial
tutorialCollectionJack,"This is a mystic cat, you can catch him in the autumn or find in the Magic box anytime","Это мистический котик, его можно поймать осенью или найти в Волшебной коробке",Tutorial
tutorialCollectionLady,"This is a valentine cat, you can catch him in February or find in the Magic box anytime","Это влюбленный котик, его можно поймать в феврале или найти в Волшебной коробке",Tutorial
tutorialCollectionMix,"This is unusual cat, you can get him by a secret word or find in the Magic box","Это необычный котик, его можно получить, только если знаешь секретное слово, или найти в Волшебной коробке",Tutorial
tutorialCollectionSanta,"This is a xmas cat, you can catch him in December or find in the Magic box anytime","Это новогодний котик, его можно поймать в декабре или найти в Волшебной коробке",Tutorial
tutorialFever,Release cats as fast as you can to activate Disco mode. While Disco is active you gain triple amount of points and goldfish,"Чтобы активировать Диско, разгоняй котиков как можно быстрее. Во время Диско количество очков и золотых рыбок будет утраиваться",Tutorial
tutorialFireworkBoomBig,Build a chain of 10 or more cats to get a Big petard. Tap the petard to release surrounding cats,"Cделай цепочку длиною не менее 10, чтобы получить Большую петарду. Нажми на нее, и котики вокруг разбегутся",Tutorial
tutorialFireworkBoomSmall,Build a chain of 6 or more cats to get a Small petard. Tap the petard to release surrounding cats,"Cделай цепочку длиною не менее 6, чтобы получить Небольшую петарду. Нажми на нее, и котики вокруг разбегутся",Tutorial
tutorialFireworkColor,Build a chain of 12 or more cats to get a Colourful petard. Tap the petard to release cats of chosen color,"Cделай цепочку длиною не менее 12, чтобы получить Цветную петарду. Нажми на нее, и все котики выбранного цвета разбегутся",Tutorial
tutorialFireworkRocket,Build a chain of 8 or more cats to get a Rocket. Tap it to activate and the Rocket will release all cats in its path,"Cделай цепочку длиною не менее 8, чтобы получить Ракету. Нажми на нее, чтобы запустить, и она разгонит всех котиков на своем пути",Tutorial
tutorialGameBasics,The essence of the game is simple! Connect at least three identical cats - they will scatter and you will score points,"Суть игры проста! Соедини как минимум трех одинаковых котиков и они разбегутся, а ты заработаешь очки",Tutorial
tutorialGameClosedBox,This is a box for a supercat. Achieve level {0} to open it,"Это коробка для суперкотика. Достигни {0} уровня, чтобы открыть ее",Tutorial
tutorialGameCombo,"And just one more important thing! The longer the cats chain, the more points you gain!","Важный момент! Чем длиннее цепочка котиков, тем больше очков ты получишь!",Tutorial
tutorialGameComboLoop,"To create a Loop close a chain of at least 6 cats, you score 3 times more points",Замкни цепочку длиною не менее 6 котиков и получится петля - она дает в три раза больше очков,Tutorial
tutorialGoldfishes,These cats have goldfish! Collect them as many as possible - they come in handy!,У этих котиков золотые рыбки! Собирай их как можно больше - они тебе пригодятся,Tutorial
tutorialLeagueUp,Perfect! You have done good progress in Championship! As the reward for rise in a league your timer's time increases!,"Отлично, ты продвинулся в чемпионате! В награду за повышение лиги время твоего таймера увеличивается!",Tutorial
tutorialLogin,Connect to Facebook to make your picture and name visible in a leaderboard. Also this will allow your game progress to be safely stored and recovered if needed,"Подключи Facebook, чтобы твои аватарка и имя были видны в таблице рекордов. А еще это позволит надежно сохранить игровой прогресс и восстановить его, если потребуется",Tutorial
tutorialLuckyWheel,You have unlocked the Lucky Wheel! Treat me with the sausage and I'll win something for you!,"Ты открыл Колесо удачи! Угости меня сарделькой, и я выиграю для тебя что-нибудь полезное!",Tutorial
tutorialMedals,Touch the medal and don't release your finger to get info on how to get this medal and its bonus,"Удерживай палец на медали, чтобы узнать, как ее получить, и какой бонус она дает",Tutorial
tutorialMissions,Complete all three tasks to level up and get a gift,"Выполни все три задания, чтобы повысить свой уровень и получить подарок",Tutorial
tutorialMultiplier,This is a cat with a multiplier! Release the cat and all the points you score within the rest time will be multiplied by 2,"Это котик с множителем! Прогони его, и все очки, которые ты заработаешь за оставшееся время, будут умножены на 2",Tutorial
tutorialMultiplierX5,Every next multiplier requires more afforts than previous one. Try to make long chains to get it faster!,"Каждый следующий множитель получить сложнее, чем предыдущий. Старайся делать длинные цепочки, чтобы получить его быстрее!",Tutorial
tutorialPrepareBox,These are surprise boxes. Get to {0}th level to know what is inside!,"Это коробки с сюрпризом. Получи {0} уровень и узнаешь, что в них!",Tutorial
tutorialTournament,This is the Tournament. Here you can compete with your friends and gain goldfish. More friends - more rewards!,Это Турнир. Здесь ты сможешь соревноваться с друзьями и выигрывать золотые рыбки. Чем больше друзей участвует - тем больше приз,Tutorial
tutorialTournamentBetterResults,Improve your result to win more goldfish!,"Улучшай свой результат, чтобы выиграть больше рыбок!",Tutorial
tutorialTournamentInviteToCompite,Invite your friends into the game to have opponents for a Tournament! More friends - more rewards!,"Пригласи друзей в игру, чтобы было с кем соревноваться! Чем больше друзей участвует - тем больше приз",Tutorial
tutorialTournamentInviteToMoreGoldfish,Invite more friends to increase the goldfish prize!,"Приглашай больше друзей, чтобы увеличить призовой фонд!",Tutorial
tutorialTournamentPrizeFund,"The more players participate in a Tournament, the higher award becomes. Invite your friends and gain more goldfish!","Чем больше участников, тем больше призовой фонд турнира. Приглашай друзей и выигрывай больше золотых рыбок!",Tutorial
tutorialTournamentTime,"When the time is up the results will be summed up, the prizes will be distributed and of course the new Tournament will begin!","Когда время закончится, будут подведены итоги, распределены призы, ну и, конечно, начнется новый Турнир!",Tutorial
tutorialVideoRewarded,"Please note - if you watch now a short video ad of another game, you will get {0} goldfish","Обрати внимание - если ты сейчас посмотришь короткую видео рекламу, то получишь в награду {0} золотых рыбок",Tutorial
advisorReplyError,"Sorry, I can't talk know. Please come back in an hour","Извини, сейчас не могу говорить - заходи через час",Advisor
advisorReplyNoConnection,I need an internet access to have up-to-date information ,"Мне нужен доступ в интернет, чтобы иметь самую актуальную информацию",Advisor
advisorReplyDefault,Hi! My name is Ginger. I can answer your questions about READY SET CAT game. What would you like to know?,Здравствуй! Меня зовут Рыжик. Я могу ответить на твои вопросы об игре КОТИКИ. Что бы ты хотел узнать?,Advisor
ask,Ask,Спросить,Advisor
